state,date,frequency,general_region,longitude,latitude,unemployment_rate,estimated_employed,labour_participation_rate
Kerala,2019-07-31,Monthly,South,10.8505,76.2711,6.265000000000001,8960604.0,34.045
Kerala,2019-08-31,Monthly,South,10.8505,76.2711,9.005,9682099.0,37.905
Kerala,2019-09-30,Monthly,South,10.8505,76.2711,5.435,10041141.0,37.769999999999996
Kerala,2019-10-31,Monthly,South,10.8505,76.2711,7.245,9973335.0,38.255
Kerala,2019-11-30,Monthly,South,10.8505,76.2711,5.855,8620673.0,32.535
Kerala,2019-12-31,Monthly,South,10.8505,76.2711,9.04,9506087.0,37.115
Madhya Pradesh,2019-05-31,Monthly,West,22.9734,78.6569,3.77,22042558.0,38.465
Madhya Pradesh,2019-06-30,Monthly,West,22.9734,78.6569,5.3149999999999995,22804134.0,39.64
Madhya Pradesh,2019-07-31,Monthly,West,22.9734,78.6569,5.65,22541153.0,38.935
Madhya Pradesh,2019-08-31,Monthly,West,22.9734,78.6569,5.880000000000001,23368971.0,40.925
Madhya Pradesh,2019-09-30,Monthly,West,22.9734,78.6569,5.04,22815282.0,39.535
Madhya Pradesh,2019-10-31,Monthly,West,22.9734,78.6569,3.6900000000000004,23664353.0,39.83
Madhya Pradesh,2019-11-30,Monthly,West,22.9734,78.6569,4.39,22765885.0,38.69
Madhya Pradesh,2019-12-31,Monthly,West,22.9734,78.6569,4.57,23642050.0,40.3
Maharashtra,2019-05-31,Monthly,West,19.7515,75.7139,4.875,40859432.0,42.705
Maharashtra,2019-06-30,Monthly,West,19.7515,75.7139,5.4,40431564.0,42.495
Maharashtra,2019-07-31,Monthly,West,19.7515,75.7139,5.005,42059427.0,43.805
Maharashtra,2019-08-31,Monthly,West,19.7515,75.7139,5.665,43438156.0,45.255
Maharashtra,2019-09-30,Monthly,West,19.7515,75.7139,6.0,42615679.0,44.66
Maharashtra,2019-10-31,Monthly,West,19.7515,75.7139,5.66,41552240.0,43.33
Maharashtra,2019-11-30,Monthly,West,19.7515,75.7139,5.64,42368066.0,44.07
Maharashtra,2019-12-31,Monthly,West,19.7515,75.7139,5.43,42938769.0,44.275
Meghalaya,2019-05-31,Monthly,Northeast,25.467,91.3662,5.78,1347989.0,56.959999999999994
Meghalaya,2019-06-30,Monthly,Northeast,25.467,91.3662,6.445,1256049.0,54.69
Meghalaya,2019-07-31,Monthly,Northeast,25.467,91.3662,2.73,1442526.0,61.61
Meghalaya,2019-08-31,Monthly,Northeast,25.467,91.3662,3.16,1325158.0,56.565
Meghalaya,2019-09-30,Monthly,Northeast,25.467,91.3662,2.77,1416046.0,58.394999999999996
Meghalaya,2019-10-31,Monthly,Northeast,25.467,91.3662,5.45,1314984.0,55.575
Meghalaya,2019-11-30,Monthly,Northeast,25.467,91.3662,2.26,1499134.0,63.025000000000006
Meghalaya,2019-12-31,Monthly,Northeast,25.467,91.3662,3.505,1370414.0,58.11
Odisha,2019-05-31,Monthly,East,20.9517,85.0985,3.56,13675335.0,40.864999999999995
Odisha,2019-06-30,Monthly,East,20.9517,85.0985,3.67,13321444.0,39.165
Odisha,2019-07-31,Monthly,East,20.9517,85.0985,2.545,14552120.0,42.019999999999996
Odisha,2019-08-31,Monthly,East,20.9517,85.0985,3.59,14184642.0,41.19
Odisha,2019-09-30,Monthly,East,20.9517,85.0985,4.045,13738378.0,41.235
Odisha,2019-10-31,Monthly,East,20.9517,85.0985,4.390000000000001,14078389.0,41.195
Odisha,2019-11-30,Monthly,East,20.9517,85.0985,3.4749999999999996,14787092.0,42.885000000000005
Odisha,2019-12-31,Monthly,East,20.9517,85.0985,4.015,13714117.0,39.685
Puducherry,2019-05-31,Monthly,South,11.9416,79.8083,0.625,456379.0,39.394999999999996
Puducherry,2019-06-30,Monthly,South,11.9416,79.8083,0.0,488896.0,41.84
Puducherry,2019-07-31,Monthly,South,11.9416,79.8083,0.0,420344.0,34.665000000000006
Puducherry,2019-08-31,Monthly,South,11.9416,79.8083,6.8999999999999995,496812.0,45.12
Puducherry,2019-09-30,Monthly,South,11.9416,79.8083,0.61,462291.0,39.535
Puducherry,2019-10-31,Monthly,South,11.9416,79.8083,1.1749999999999998,492831.0,41.855000000000004
Puducherry,2019-11-30,Monthly,South,11.9416,79.8083,0.685,417790.0,34.595
Puducherry,2019-12-31,Monthly,South,11.9416,79.8083,3.6,493943.0,42.745000000000005
Punjab,2019-05-31,Monthly,North,31.1471,75.3412,11.33,9378465.0,42.41
Punjab,2019-06-30,Monthly,North,31.1471,75.3412,12.690000000000001,9333033.0,42.905
Punjab,2019-07-31,Monthly,North,31.1471,75.3412,10.625,9900571.0,44.56
Punjab,2019-08-31,Monthly,North,31.1471,75.3412,9.34,9683290.0,42.845
Punjab,2019-09-30,Monthly,North,31.1471,75.3412,12.14,9488149.0,42.730000000000004
Punjab,2019-10-31,Monthly,North,31.1471,75.3412,13.155000000000001,9092359.0,41.379999999999995
Punjab,2019-11-30,Monthly,North,31.1471,75.3412,8.73,9997265.0,43.685
Punjab,2019-12-31,Monthly,North,31.1471,75.3412,9.05,9739993.0,42.785
Rajasthan,2019-05-31,Monthly,North,27.0238,74.2179,8.825,20334441.0,38.980000000000004
Rajasthan,2019-06-30,Monthly,North,27.0238,74.2179,14.03,19851738.0,40.875
Rajasthan,2019-07-31,Monthly,North,27.0238,74.2179,10.684999999999999,20232343.0,40.08
Rajasthan,2019-08-31,Monthly,North,27.0238,74.2179,13.605,20247221.0,40.91
Rajasthan,2019-09-30,Monthly,North,27.0238,74.2179,9.040000000000001,20596598.0,39.195
Rajasthan,2019-10-31,Monthly,North,27.0238,74.2179,13.84,20562879.0,41.745
Rajasthan,2019-11-30,Monthly,North,27.0238,74.2179,12.385000000000002,20585271.0,40.8
Rajasthan,2019-12-31,Monthly,North,27.0238,74.2179,16.0,20594788.0,41.95
Sikkim,2019-05-31,Monthly,Northeast,27.533,88.5122,8.2,89587.0,48.61
Sikkim,2019-06-30,Monthly,Northeast,27.533,88.5122,7.76,89702.0,48.13
Sikkim,2019-07-31,Monthly,Northeast,27.533,88.5122,2.56,108334.0,54.67
Sikkim,2019-08-31,Monthly,Northeast,27.533,88.5122,4.82,90850.0,46.63
Sikkim,2019-09-30,Monthly,Northeast,27.533,88.5122,4.81,89450.0,45.61
Sikkim,2019-10-31,Monthly,Northeast,27.533,88.5122,7.58,234662.0,45.515
Sikkim,2019-11-30,Monthly,Northeast,27.533,88.5122,8.575,270177.0,53.42
Sikkim,2019-12-31,Monthly,Northeast,27.533,88.5122,4.1850000000000005,249682.0,45.769999999999996
Tamil Nadu,2019-05-31,Monthly,South,11.1271,78.6569,0.9299999999999999,27642778.0,43.375
Tamil Nadu,2019-06-30,Monthly,South,11.1271,78.6569,1.24,28694048.0,45.075
Tamil Nadu,2019-07-31,Monthly,South,11.1271,78.6569,4.595,28510342.0,46.415
Tamil Nadu,2019-08-31,Monthly,South,11.1271,78.6569,6.22,28397024.0,46.650000000000006
Tamil Nadu,2019-09-30,Monthly,South,11.1271,78.6569,1.7850000000000001,26498265.0,41.69
Tamil Nadu,2019-10-31,Monthly,South,11.1271,78.6569,1.295,27819595.0,43.485
Tamil Nadu,2019-11-30,Monthly,South,11.1271,78.6569,2.5549999999999997,27953382.0,44.165000000000006
Tamil Nadu,2019-12-31,Monthly,South,11.1271,78.6569,5.890000000000001,27617327.0,45.045
Telangana,2019-05-31,Monthly,South,18.1124,79.0193,1.875,16614002.0,53.165000000000006
Telangana,2019-06-30,Monthly,South,18.1124,79.0193,3.675,16412171.0,53.81
Telangana,2019-07-31,Monthly,South,18.1124,79.0193,3.09,16971191.0,54.38
Telangana,2019-08-31,Monthly,South,18.1124,79.0193,2.795,16288652.0,52.31
Telangana,2019-09-30,Monthly,South,18.1124,79.0193,5.84,18305200.0,59.925
Telangana,2019-10-31,Monthly,South,18.1124,79.0193,7.015000000000001,16693695.0,55.5
Telangana,2019-11-30,Monthly,South,18.1124,79.0193,5.85,16603947.0,54.519999999999996
Telangana,2019-12-31,Monthly,South,18.1124,79.0193,2.785,16385838.0,51.870000000000005
Tripura,2019-05-31,Monthly,Northeast,23.9408,91.9882,31.97,1442676.0,66.985
Tripura,2019-06-30,Monthly,Northeast,23.9408,91.9882,26.115000000000002,1515751.0,63.1
Tripura,2019-07-31,Monthly,Northeast,23.9408,91.9882,24.14,1463180.0,59.82
Tripura,2019-08-31,Monthly,Northeast,23.9408,91.9882,29.47,1344478.0,58.68
Tripura,2019-09-30,Monthly,Northeast,23.9408,91.9882,31.9,1452451.0,66.4
Tripura,2019-10-31,Monthly,Northeast,23.9408,91.9882,27.105,1528572.0,64.10499999999999
Tripura,2019-11-30,Monthly,Northeast,23.9408,91.9882,26.2,1512333.0,63.215
Tripura,2019-12-31,Monthly,Northeast,23.9408,91.9882,30.005,1446305.0,63.215
Uttar Pradesh,2019-05-31,Monthly,North,26.8467,80.9462,12.33,56679052.0,40.195
Uttar Pradesh,2019-06-30,Monthly,North,26.8467,80.9462,11.375,55901024.0,39.535
Uttar Pradesh,2019-07-31,Monthly,North,26.8467,80.9462,10.495000000000001,56559431.0,39.605000000000004
Uttar Pradesh,2019-08-31,Monthly,North,26.8467,80.9462,13.100000000000001,56878987.0,40.555
Uttar Pradesh,2019-09-30,Monthly,North,26.8467,80.9462,10.015,57721732.0,39.43
Uttar Pradesh,2019-10-31,Monthly,North,26.8467,80.9462,10.265,56771568.0,39.39
Uttar Pradesh,2019-11-30,Monthly,North,26.8467,80.9462,9.125,57390418.0,39.305
Uttar Pradesh,2019-12-31,Monthly,North,26.8467,80.9462,10.399999999999999,58497287.0,39.99
Uttarakhand,2019-05-31,Monthly,North,30.0668,79.0193,5.4,2784841.0,31.9
Uttarakhand,2019-06-30,Monthly,North,30.0668,79.0193,4.67,2928442.0,35.275
Uttarakhand,2019-07-31,Monthly,North,30.0668,79.0193,6.34,2860424.0,34.724999999999994
Uttarakhand,2019-08-31,Monthly,North,30.0668,79.0193,6.77,2735347.0,33.3
Uttarakhand,2019-09-30,Monthly,North,30.0668,79.0193,6.545,2868995.0,33.15
Uttarakhand,2019-10-31,Monthly,North,30.0668,79.0193,4.775,2952836.0,35.385
Uttarakhand,2019-11-30,Monthly,North,30.0668,79.0193,5.949999999999999,2912016.0,35.17
Uttarakhand,2019-12-31,Monthly,North,30.0668,79.0193,5.955,2792345.0,33.42
West Bengal,2019-05-31,Monthly,East,22.9868,87.855,6.635,34759052.0,46.39
West Bengal,2019-06-30,Monthly,East,22.9868,87.855,6.615,36154963.0,46.935
West Bengal,2019-07-31,Monthly,East,22.9868,87.855,6.765000000000001,35637636.0,46.58
West Bengal,2019-08-31,Monthly,East,22.9868,87.855,6.425,36381320.0,47.78
West Bengal,2019-09-30,Monthly,East,22.9868,87.855,6.525,36769422.0,47.805
West Bengal,2019-10-31,Monthly,East,22.9868,87.855,7.305,34916704.0,45.67
West Bengal,2019-11-30,Monthly,East,22.9868,87.855,6.220000000000001,36398821.0,46.72
West Bengal,2019-12-31,Monthly,East,22.9868,87.855,6.515000000000001,36241935.0,47.22
