state,date,frequency,unemployment_rate,estimated_employed,labour_participation_rate,general_region,longitude,latitude,area
Gujarat,2020-03-31,Monthly,6.66,23566641.0,47.75,West,22.2587,71.1924,
Gujarat,2020-04-30,Monthly,18.71,15288878.0,35.5,West,22.2587,71.1924,
Gujarat,2020-05-31,Monthly,12.11,17836936.0,38.23,West,22.2587,71.1924,
Gujarat,2020-06-30,Monthly,3.2,23657055.0,45.96,West,22.2587,71.1924,
Gujarat,2020-07-31,Monthly,1.84,24276120.0,46.41,West,22.2587,71.1924,
Gujarat,2020-08-31,Monthly,1.87,22817232.0,43.55,West,22.2587,71.1924,
Gujarat,2020-09-30,Monthly,3.42,25010199.0,48.41,West,22.2587,71.1924,
Gujarat,2020-10-31,Monthly,4.03,25970259.0,50.49,West,22.2587,71.1924,
Haryana,2020-01-31,Monthly,20.34,7693231.0,43.36,North,29.0588,76.0856,
Haryana,2020-02-29,Monthly,25.77,7322942.0,44.21,North,29.0588,76.0856,
Haryana,2020-03-31,Monthly,25.05,6641555.0,39.63,North,29.0588,76.0856,
Haryana,2020-04-30,Monthly,43.22,5647630.0,44.38,North,29.0588,76.0856,
Haryana,2020-05-31,Monthly,29.02,6437868.0,40.39,North,29.0588,76.0856,
Haryana,2020-06-30,Monthly,26.7,6951934.0,42.14,North,29.0588,76.0856,
Haryana,2020-07-31,Monthly,24.18,6800652.0,39.77,North,29.0588,76.0856,
Haryana,2020-08-31,Monthly,33.5,7113788.0,47.32,North,29.0588,76.0856,
Haryana,2020-09-30,Monthly,19.68,7132439.0,39.2,North,29.0588,76.0856,
Haryana,2020-10-31,Monthly,27.31,6698551.0,40.6,North,29.0588,76.0856,
Himachal Pradesh,2020-01-31,Monthly,16.83,2287632.0,45.5,North,31.1048,77.1734,
Himachal Pradesh,2020-02-29,Monthly,16.84,2180268.0,43.3,North,31.1048,77.1734,
Himachal Pradesh,2020-03-31,Monthly,18.76,2021858.0,41.04,North,31.1048,77.1734,
Himachal Pradesh,2020-04-30,Monthly,2.2,1131128.0,19.04,North,31.1048,77.1734,
Himachal Pradesh,2020-05-31,Monthly,26.95,1897639.0,42.7,North,31.1048,77.1734,
Himachal Pradesh,2020-06-30,Monthly,13.47,2199683.0,41.72,North,31.1048,77.1734,
Himachal Pradesh,2020-07-31,Monthly,24.31,2229456.0,48.25,North,31.1048,77.1734,
Himachal Pradesh,2020-08-31,Monthly,15.79,2029740.0,39.42,North,31.1048,77.1734,
Himachal Pradesh,2020-09-30,Monthly,12.04,2237480.0,41.54,North,31.1048,77.1734,
Himachal Pradesh,2020-10-31,Monthly,13.46,2123965.0,40.01,North,31.1048,77.1734,
Jammu & Kashmir,2020-01-31,Monthly,21.08,3453025.0,42.2,North,33.7782,76.5762,
Jammu & Kashmir,2020-02-29,Monthly,20.78,3223513.0,39.17,North,33.7782,76.5762,
Jammu & Kashmir,2020-03-31,Monthly,15.5,3359107.0,38.18,North,33.7782,76.5762,
Jammu & Kashmir,2020-05-31,Monthly,18.74,3246493.0,38.21,North,33.7782,76.5762,
Jammu & Kashmir,2020-06-30,Monthly,17.92,3202336.0,37.24,North,33.7782,76.5762,
Jammu & Kashmir,2020-07-31,Monthly,10.88,3558889.0,38.03,North,33.7782,76.5762,
Jammu & Kashmir,2020-08-31,Monthly,11.09,3429950.0,36.66,North,33.7782,76.5762,
Jammu & Kashmir,2020-09-30,Monthly,16.17,3210281.0,36.31,North,33.7782,76.5762,
Jammu & Kashmir,2020-10-31,Monthly,16.14,3106691.0,35.05,North,33.7782,76.5762,
Jharkhand,2020-01-31,Monthly,10.61,10198029.0,42.92,East,23.6102,85.2799,
Jharkhand,2020-02-29,Monthly,11.85,10425425.0,44.4,East,23.6102,85.2799,
Jharkhand,2020-03-31,Monthly,8.23,9638115.0,39.34,East,23.6102,85.2799,
Jharkhand,2020-04-30,Monthly,47.09,5335262.0,37.69,East,23.6102,85.2799,
Jharkhand,2020-05-31,Monthly,59.23,4145385.0,37.92,East,23.6102,85.2799,
Jharkhand,2020-06-30,Monthly,20.95,8622722.0,40.59,East,23.6102,85.2799,
Jharkhand,2020-07-31,Monthly,7.63,9521900.0,38.27,East,23.6102,85.2799,
Jharkhand,2020-08-31,Monthly,9.76,9331640.0,38.31,East,23.6102,85.2799,
Jharkhand,2020-09-30,Monthly,8.24,10185670.0,41.04,East,23.6102,85.2799,
Jharkhand,2020-10-31,Monthly,11.8,10302276.0,43.08,East,23.6102,85.2799,
Karnataka,2020-01-31,Monthly,2.86,22688028.0,42.18,South,15.3173,75.7139,
Karnataka,2020-02-29,Monthly,3.61,21677719.0,40.54,South,15.3173,75.7139,
Karnataka,2020-03-31,Monthly,3.46,22079653.0,41.14,South,15.3173,75.7139,
Karnataka,2020-04-30,Monthly,29.84,16718395.0,42.78,South,15.3173,75.7139,
Karnataka,2020-05-31,Monthly,19.97,19397853.0,43.43,South,15.3173,75.7139,
Karnataka,2020-06-30,Monthly,8.44,24215057.0,47.29,South,15.3173,75.7139,
Karnataka,2020-07-31,Monthly,4.01,22885616.0,42.55,South,15.3173,75.7139,
Karnataka,2020-08-31,Monthly,0.5,24094289.0,43.13,South,15.3173,75.7139,
Karnataka,2020-09-30,Monthly,2.41,20127176.0,36.66,South,15.3173,75.7139,
Karnataka,2020-10-31,Monthly,1.58,22356390.0,40.3,South,15.3173,75.7139,
Kerala,2020-01-31,Monthly,5.31,9904534.0,37.12,South,10.8505,76.2711,
Kerala,2020-02-29,Monthly,7.6,9828023.0,37.71,South,10.8505,76.2711,
Kerala,2020-03-31,Monthly,8.99,8221728.0,32.0,South,10.8505,76.2711,
Kerala,2020-04-30,Monthly,16.99,3933276.0,16.77,South,10.8505,76.2711,
Kerala,2020-05-31,Monthly,17.88,7921962.0,34.11,South,10.8505,76.2711,
Kerala,2020-06-30,Monthly,9.71,9228268.0,36.11,South,10.8505,76.2711,
Kerala,2020-07-31,Monthly,7.09,9504420.0,36.1,South,10.8505,76.2711,
Kerala,2020-08-31,Monthly,10.98,9031944.0,35.78,South,10.8505,76.2711,
Kerala,2020-09-30,Monthly,5.91,9240913.0,34.6,South,10.8505,76.2711,
Kerala,2020-10-31,Monthly,3.88,9152881.0,33.52,South,10.8505,76.2711,
Madhya Pradesh,2020-01-31,Monthly,4.11,23018632.0,39.42,West,22.9734,78.6569,
Madhya Pradesh,2020-02-29,Monthly,4.57,22711479.0,39.0,West,22.9734,78.6569,
Madhya Pradesh,2020-03-31,Monthly,2.22,22867164.0,38.24,West,22.9734,78.6569,
Madhya Pradesh,2020-04-30,Monthly,12.36,19041832.0,35.45,West,22.9734,78.6569,
Madhya Pradesh,2020-05-31,Monthly,21.98,18443927.0,38.48,West,22.9734,78.6569,
Madhya Pradesh,2020-06-30,Monthly,6.48,23054646.0,40.04,West,22.9734,78.6569,
Madhya Pradesh,2020-07-31,Monthly,5.08,23940158.0,40.88,West,22.9734,78.6569,
Madhya Pradesh,2020-08-31,Monthly,4.7,23619011.0,40.08,West,22.9734,78.6569,
Madhya Pradesh,2020-09-30,Monthly,3.91,23341952.0,39.2,West,22.9734,78.6569,
Madhya Pradesh,2020-10-31,Monthly,3.13,23144552.0,38.47,West,22.9734,78.6569,
Maharashtra,2020-01-31,Monthly,4.95,42596868.0,44.19,West,19.7515,75.7139,
Maharashtra,2020-02-29,Monthly,4.69,42416317.0,43.8,West,19.7515,75.7139,
Maharashtra,2020-03-31,Monthly,5.79,40196806.0,41.91,West,19.7515,75.7139,
Maharashtra,2020-04-30,Monthly,20.9,27689253.0,34.32,West,19.7515,75.7139,
Maharashtra,2020-05-31,Monthly,15.46,32116847.0,37.17,West,19.7515,75.7139,
Maharashtra,2020-06-30,Monthly,9.23,39708538.0,42.71,West,19.7515,75.7139,
Maharashtra,2020-07-31,Monthly,3.89,40998545.0,41.57,West,19.7515,75.7139,
Maharashtra,2020-08-31,Monthly,6.23,40963616.0,42.49,West,19.7515,75.7139,
Maharashtra,2020-09-30,Monthly,4.55,42042911.0,42.75,West,19.7515,75.7139,
Maharashtra,2020-10-31,Monthly,4.1,43317881.0,43.75,West,19.7515,75.7139,
Meghalaya,2020-01-31,Monthly,1.66,1491093.0,65.49,Northeast,25.467,91.3662,
Meghalaya,2020-02-29,Monthly,3.59,1346829.0,60.2,Northeast,25.467,91.3662,
Meghalaya,2020-03-31,Monthly,1.58,1482351.0,64.74,Northeast,25.467,91.3662,
Meghalaya,2020-04-30,Monthly,10.03,965057.0,45.99,Northeast,25.467,91.3662,
Meghalaya,2020-05-31,Monthly,5.92,1215064.0,55.24,Northeast,25.467,91.3662,
Meghalaya,2020-06-30,Monthly,1.15,1350794.0,58.31,Northeast,25.467,91.3662,
Meghalaya,2020-07-31,Monthly,2.1,1448106.0,62.96,Northeast,25.467,91.3662,
Meghalaya,2020-08-31,Monthly,3.74,1357643.0,59.88,Northeast,25.467,91.3662,
Meghalaya,2020-09-30,Monthly,4.29,1459726.0,64.6,Northeast,25.467,91.3662,
Meghalaya,2020-10-31,Monthly,4.6,1381490.0,61.18,Northeast,25.467,91.3662,
Odisha,2020-01-31,Monthly,1.9,13743448.0,39.44,East,20.9517,85.0985,
Odisha,2020-02-29,Monthly,3.12,14280735.0,41.44,East,20.9517,85.0985,
Odisha,2020-03-31,Monthly,13.08,12272109.0,39.62,East,20.9517,85.0985,
Odisha,2020-04-30,Monthly,23.76,6865693.0,25.23,East,20.9517,85.0985,
Odisha,2020-05-31,Monthly,11.41,11730937.0,37.04,East,20.9517,85.0985,
Odisha,2020-06-30,Monthly,3.77,12903993.0,37.45,East,20.9517,85.0985,
Odisha,2020-07-31,Monthly,1.88,13614400.0,38.69,East,20.9517,85.0985,
Odisha,2020-08-31,Monthly,1.42,14154039.0,39.96,East,20.9517,85.0985,
Odisha,2020-09-30,Monthly,2.1,13608422.0,38.63,East,20.9517,85.0985,
Odisha,2020-10-31,Monthly,2.18,14094553.0,39.98,East,20.9517,85.0985,
Puducherry,2020-01-31,Monthly,0.58,457950.0,37.46,South,11.9416,79.8083,
Puducherry,2020-02-29,Monthly,1.76,493961.0,40.8,South,11.9416,79.8083,
Puducherry,2020-03-31,Monthly,1.2,421028.0,34.49,South,11.9416,79.8083,
Puducherry,2020-04-30,Monthly,75.85,117542.0,39.3,South,11.9416,79.8083,
Puducherry,2020-05-31,Monthly,58.19,172308.0,33.19,South,11.9416,79.8083,
Puducherry,2020-06-30,Monthly,4.24,367135.0,30.8,South,11.9416,79.8083,
Puducherry,2020-07-31,Monthly,15.47,386563.0,36.64,South,11.9416,79.8083,
Puducherry,2020-08-31,Monthly,5.05,396006.0,33.34,South,11.9416,79.8083,
Puducherry,2020-09-30,Monthly,10.9,411717.0,36.84,South,11.9416,79.8083,
Puducherry,2020-10-31,Monthly,6.18,428419.0,36.32,South,11.9416,79.8083,
Punjab,2020-01-31,Monthly,11.11,9442093.0,42.82,North,31.1471,75.3412,
Punjab,2020-02-29,Monthly,10.97,9229047.0,41.72,North,31.1471,75.3412,
Punjab,2020-03-31,Monthly,10.32,9975485.0,44.69,North,31.1471,75.3412,
Punjab,2020-04-30,Monthly,2.86,7020565.0,28.99,North,31.1471,75.3412,
Punjab,2020-05-31,Monthly,28.33,6872938.0,38.39,North,31.1471,75.3412,
Punjab,2020-06-30,Monthly,16.55,8390766.0,40.18,North,31.1471,75.3412,
Punjab,2020-07-31,Monthly,9.19,9732417.0,42.76,North,31.1471,75.3412,
Punjab,2020-08-31,Monthly,10.99,9386169.0,41.99,North,31.1471,75.3412,
Punjab,2020-09-30,Monthly,9.61,8980432.0,39.5,North,31.1471,75.3412,
Punjab,2020-10-31,Monthly,9.88,8800430.0,38.75,North,31.1471,75.3412,
Rajasthan,2020-01-31,Monthly,10.97,20641716.0,40.51,North,27.0238,74.2179,
Rajasthan,2020-02-29,Monthly,15.16,20328915.0,41.77,North,27.0238,74.2179,
Rajasthan,2020-03-31,Monthly,11.9,20024680.0,39.54,North,27.0238,74.2179,
Rajasthan,2020-04-30,Monthly,17.7,15984142.0,33.71,North,27.0238,74.2179,
Rajasthan,2020-05-31,Monthly,15.74,19826602.0,40.74,North,27.0238,74.2179,
Rajasthan,2020-06-30,Monthly,14.39,20506612.0,41.38,North,27.0238,74.2179,
Rajasthan,2020-07-31,Monthly,15.81,19932393.0,40.8,North,27.0238,74.2179,
Rajasthan,2020-08-31,Monthly,17.51,20014060.0,41.71,North,27.0238,74.2179,
Rajasthan,2020-09-30,Monthly,15.35,20149594.0,40.83,North,27.0238,74.2179,
Rajasthan,2020-10-31,Monthly,24.15,19908808.0,44.92,North,27.0238,74.2179,
Sikkim,2020-03-31,Monthly,23.57,262895.0,60.59,Northeast,27.533,88.5122,
Sikkim,2020-04-30,Monthly,2.28,215303.0,38.7,Northeast,27.533,88.5122,
Sikkim,2020-05-31,Monthly,24.51,193427.0,44.88,Northeast,27.533,88.5122,
Sikkim,2020-06-30,Monthly,4.46,221058.0,40.4,Northeast,27.533,88.5122,
Sikkim,2020-07-31,Monthly,4.45,265175.0,48.32,Northeast,27.533,88.5122,
Sikkim,2020-08-31,Monthly,12.49,244462.0,48.49,Northeast,27.533,88.5122,
Sikkim,2020-09-30,Monthly,5.7,231798.0,42.54,Northeast,27.533,88.5122,
Sikkim,2020-10-31,Monthly,0.88,242068.0,42.13,Northeast,27.533,88.5122,
Tamil Nadu,2020-01-31,Monthly,1.57,26881641.0,41.96,South,11.1271,78.6569,
Tamil Nadu,2020-02-29,Monthly,2.09,27570589.0,43.2,South,11.1271,78.6569,
Tamil Nadu,2020-03-31,Monthly,6.4,26830768.0,43.91,South,11.1271,78.6569,
Tamil Nadu,2020-04-30,Monthly,49.83,9719167.0,29.63,South,11.1271,78.6569,
Tamil Nadu,2020-05-31,Monthly,33.16,11483256.0,26.23,South,11.1271,78.6569,
Tamil Nadu,2020-06-30,Monthly,12.2,19096847.0,33.16,South,11.1271,78.6569,
Tamil Nadu,2020-07-31,Monthly,6.81,24572827.0,40.13,South,11.1271,78.6569,
Tamil Nadu,2020-08-31,Monthly,2.65,27046415.0,42.22,South,11.1271,78.6569,
Tamil Nadu,2020-09-30,Monthly,5.0,23025845.0,36.77,South,11.1271,78.6569,
Tamil Nadu,2020-10-31,Monthly,2.16,23651626.0,36.62,South,11.1271,78.6569,
Telangana,2020-01-31,Monthly,5.49,17609295.0,59.25,South,18.1124,79.0193,
Telangana,2020-02-29,Monthly,8.29,16825970.0,58.24,South,18.1124,79.0193,
Telangana,2020-03-31,Monthly,5.77,17341613.0,58.31,South,18.1124,79.0193,
Telangana,2020-04-30,Monthly,6.25,12172230.0,41.06,South,18.1124,79.0193,
Telangana,2020-05-31,Monthly,14.7,14977774.0,55.43,South,18.1124,79.0193,
Telangana,2020-06-30,Monthly,10.55,15108910.0,53.22,South,18.1124,79.0193,
Telangana,2020-07-31,Monthly,5.36,15679417.0,52.1,South,18.1124,79.0193,
Telangana,2020-08-31,Monthly,5.79,18185429.0,60.59,South,18.1124,79.0193,
Telangana,2020-09-30,Monthly,3.27,16961448.0,54.94,South,18.1124,79.0193,
Telangana,2020-10-31,Monthly,2.86,17578739.0,56.58,South,18.1124,79.0193,
Tripura,2020-01-31,Monthly,32.67,1508130.0,69.69,Northeast,23.9408,91.9882,
Tripura,2020-02-29,Monthly,28.4,1584686.0,68.74,Northeast,23.9408,91.9882,
Tripura,2020-03-31,Monthly,29.95,1511217.0,66.89,Northeast,23.9408,91.9882,
Tripura,2020-04-30,Monthly,41.23,971514.0,51.16,Northeast,23.9408,91.9882,
Tripura,2020-05-31,Monthly,21.51,1290986.0,50.81,Northeast,23.9408,91.9882,
Tripura,2020-06-30,Monthly,21.71,1494140.0,58.85,Northeast,23.9408,91.9882,
Tripura,2020-07-31,Monthly,18.24,1348849.0,50.78,Northeast,23.9408,91.9882,
Tripura,2020-08-31,Monthly,27.92,1318621.0,56.21,Northeast,23.9408,91.9882,
Tripura,2020-09-30,Monthly,17.35,1368244.0,50.77,Northeast,23.9408,91.9882,
Tripura,2020-10-31,Monthly,11.57,1576529.0,54.58,Northeast,23.9408,91.9882,
Uttar Pradesh,2020-01-31,Monthly,7.58,59433759.0,39.63,North,26.8467,80.9462,
Uttar Pradesh,2020-02-29,Monthly,8.98,58060531.0,39.23,North,26.8467,80.9462,
Uttar Pradesh,2020-03-31,Monthly,10.11,56976338.0,38.89,North,26.8467,80.9462,
Uttar Pradesh,2020-04-30,Monthly,21.54,50915056.0,39.73,North,26.8467,80.9462,
Uttar Pradesh,2020-05-31,Monthly,20.41,49801902.0,38.22,North,26.8467,80.9462,
Uttar Pradesh,2020-06-30,Monthly,9.47,55380649.0,37.29,North,26.8467,80.9462,
Uttar Pradesh,2020-07-31,Monthly,5.56,56201654.0,36.19,North,26.8467,80.9462,
Uttar Pradesh,2020-08-31,Monthly,5.79,55831744.0,35.96,North,26.8467,80.9462,
Uttar Pradesh,2020-09-30,Monthly,4.18,56106836.0,35.45,North,26.8467,80.9462,
Uttar Pradesh,2020-10-31,Monthly,3.75,56539521.0,35.49,North,26.8467,80.9462,
Uttarakhand,2020-01-31,Monthly,5.49,2711639.0,32.99,North,30.0668,79.0193,
Uttarakhand,2020-02-29,Monthly,4.99,3020931.0,36.48,North,30.0668,79.0193,
Uttarakhand,2020-03-31,Monthly,19.85,2539302.0,36.27,North,30.0668,79.0193,
Uttarakhand,2020-04-30,Monthly,6.48,2720115.0,33.23,North,30.0668,79.0193,
Uttarakhand,2020-05-31,Monthly,8.01,2694072.0,33.38,North,30.0668,79.0193,
Uttarakhand,2020-06-30,Monthly,8.61,2656071.0,33.06,North,30.0668,79.0193,
Uttarakhand,2020-07-31,Monthly,12.38,2938552.0,38.07,North,30.0668,79.0193,
Uttarakhand,2020-08-31,Monthly,14.26,2717528.0,35.9,North,30.0668,79.0193,
Uttarakhand,2020-09-30,Monthly,22.26,2695230.0,39.18,North,30.0668,79.0193,
Uttarakhand,2020-10-31,Monthly,9.23,2739309.0,34.03,North,30.0668,79.0193,
West Bengal,2020-01-31,Monthly,6.94,35820789.0,47.35,East,22.9868,87.855,
West Bengal,2020-02-29,Monthly,4.92,36964178.0,47.74,East,22.9868,87.855,
West Bengal,2020-03-31,Monthly,6.92,35903917.0,47.27,East,22.9868,87.855,
West Bengal,2020-04-30,Monthly,17.41,26938836.0,39.9,East,22.9868,87.855,
West Bengal,2020-05-31,Monthly,17.41,28356675.0,41.92,East,22.9868,87.855,
West Bengal,2020-06-30,Monthly,7.29,30726310.0,40.39,East,22.9868,87.855,
West Bengal,2020-07-31,Monthly,6.83,35372506.0,46.17,East,22.9868,87.855,
West Bengal,2020-08-31,Monthly,14.87,33298644.0,47.48,East,22.9868,87.855,
West Bengal,2020-09-30,Monthly,9.35,35707239.0,47.73,East,22.9868,87.855,
West Bengal,2020-10-31,Monthly,9.98,33962549.0,45.63,East,22.9868,87.855,
Andhra Pradesh,2019-05-31,Monthly,4.87,16787800.0,40.345,South,15.9129,79.74,
Andhra Pradesh,2019-06-30,Monthly,3.425,16580511.0,39.405,South,15.9129,79.74,
Andhra Pradesh,2019-07-31,Monthly,4.695,16744150.0,39.8,South,15.9129,79.74,
Andhra Pradesh,2019-08-31,Monthly,3.965,17028872.0,40.129999999999995,South,15.9129,79.74,
Andhra Pradesh,2019-09-30,Monthly,5.59,16990758.0,40.685,South,15.9129,79.74,
Andhra Pradesh,2019-10-31,Monthly,4.11,16791789.0,39.709999999999994,South,15.9129,79.74,
Andhra Pradesh,2019-11-30,Monthly,5.83,16066453.0,38.81,South,15.9129,79.74,
Andhra Pradesh,2019-12-31,Monthly,6.13,17442358.0,41.875,South,15.9129,79.74,
Assam,2019-05-31,Monthly,6.08,13421041.0,51.155,Northeast,26.2006,92.9376,
Assam,2019-06-30,Monthly,7.485,10570564.0,44.519999999999996,Northeast,26.2006,92.9376,
Assam,2019-07-31,Monthly,3.735,11651372.0,46.265,Northeast,26.2006,92.9376,
Assam,2019-08-31,Monthly,8.09,10887621.0,44.82,Northeast,26.2006,92.9376,
Assam,2019-09-30,Monthly,6.859999999999999,13044829.0,49.165,Northeast,26.2006,92.9376,
Assam,2019-10-31,Monthly,7.91,9991082.0,42.385,Northeast,26.2006,92.9376,
Assam,2019-11-30,Monthly,5.484999999999999,11333407.0,45.615,Northeast,26.2006,92.9376,
Assam,2019-12-31,Monthly,5.02,1722303.0,44.26,Northeast,26.2006,92.9376,
Bihar,2019-05-31,Monthly,14.584999999999999,27351674.0,39.775,East,25.0961,85.3131,
Bihar,2019-06-30,Monthly,11.745,27346576.0,39.53,East,25.0961,85.3131,
Bihar,2019-07-31,Monthly,14.925,26308619.0,39.01,East,25.0961,85.3131,
Bihar,2019-08-31,Monthly,14.33,25254966.0,37.44,East,25.0961,85.3131,
Bihar,2019-09-30,Monthly,14.665,26897782.0,38.91,East,25.0961,85.3131,
Bihar,2019-10-31,Monthly,13.265,27226569.0,39.38,East,25.0961,85.3131,
Bihar,2019-11-30,Monthly,15.010000000000002,25527066.0,38.185,East,25.0961,85.3131,
Bihar,2019-12-31,Monthly,12.535,25892387.0,36.769999999999996,East,25.0961,85.3131,
Chhattisgarh,2019-05-31,Monthly,9.795,8482148.0,44.25,West,21.2787,81.8661,
Chhattisgarh,2019-06-30,Monthly,9.265,8800646.0,44.795,West,21.2787,81.8661,
Chhattisgarh,2019-07-31,Monthly,6.355,9039058.0,44.69,West,21.2787,81.8661,
Chhattisgarh,2019-08-31,Monthly,5.465,9000094.0,44.73,West,21.2787,81.8661,
Chhattisgarh,2019-09-30,Monthly,8.895,8802283.0,45.09,West,21.2787,81.8661,
Chhattisgarh,2019-10-31,Monthly,8.615,9340936.0,46.55,West,21.2787,81.8661,
Chhattisgarh,2019-11-30,Monthly,5.545,9284215.0,45.075,West,21.2787,81.8661,
Chhattisgarh,2019-12-31,Monthly,4.84,8984821.0,44.09,West,21.2787,81.8661,
Delhi,2019-05-31,Monthly,12.435,5925962.0,43.25,North,28.7041,77.1025,
Delhi,2019-06-30,Monthly,11.045,5699248.0,39.225,North,28.7041,77.1025,
Delhi,2019-07-31,Monthly,12.875,5559696.0,41.435,North,28.7041,77.1025,
